INDID,CLASSID,CLASSDESC
00,Y,NEC
02,A,Whole Grain
02,B,Milled Corn Product
02,C,Rice Flour
02,D,Milled Rice Product
02,E,Wheat Flour
02,F,Milled Wheat Product
02,G,Other Flour/Milled Products
02,H,Starch Products
02,J,Malt And Malt Products
02,Y,"Milled Grain Products, N.E.C."
03,A,Bread/Rolls
03,B,Prep Dry Mix(Bread Etc) W/Milk Or Egg
03,C,Prep Dry Mix(Bread Etc) Wo/Milk Or Egg
03,D,Bread Heat/Serve
03,E,Bread Doughs
03,F,Crackers
03,G,Filled Crackers
03,H,"Plain Cookies,Biscuits and Wafers"
03,J,"Filled/Iced Cookies,Biscuits and Wafers"
03,K,"Prep Dry Cookie,Biscuit,Wafer Mix W/Milk Or Eggs"
03,L,"Prep Dry Cookie,Biscuit,Wafer Mix Wo/Milk Or Eggs"
03,M,"Cookie,Biscuit and Wafer Doughs"
03,N,Sweet Goods Custard/Cream Fill
03,P,Prep Dry Sweet Goods Mix W/Cust-Crm Fill
03,Q,"Sweet Goods,Dough&Batter, Cust-Crm Fill"
03,R,Sweet Goods Not Cust/Cream Fill
03,S,Prep Dry Sweet Goods Mix Wo/Cust-Crm Fill
03,T,"Sweet Goods,Dough&Batter Wo/Cust-Crm Fill"
03,U,Icings And Icing Mixes
03,Y,"Other Bakery Products, N.E.C."
04,A,Macaroni/Spaghetti
04,B,Egg Noodles
04,C,Noodles/Noodle Products
04,Y,"Macaroni/Noodle Products, N.E.C."
05,A,Breakfast Food Ready Eat
05,B,Breakfast Food Quick Cook Inst Cereal
05,Y,"Cereal Preparations, N.E.C."
07,A,Baked Snack Food
07,B,Fried/Oil Cook Snack Foods
07,C,Bread Snacks Baked
07,D,Bread Snacks Fried/Oil Cooked
07,G,"Fruit Snack Foods, Baked"
07,H,"Fruit Snack Foods, Fried/Oil Cooked"
07,I,"Grain Snacks (Whole, Split) Baked"
07,J,"Grain Snacks (Whole, Split) Fried/Oil Cooked"
07,M,"Meat/Poultry/Seafood Flavored, Baked Snack Foods"
07,Q,Vegetable Snacks (Other than Pulses) Baked
07,S,Starch Snacks Baked
07,T,Starch Snacks Fried/Oil Cook
07,U,Genetically Engineered Snacks
07,Y,"Snack Foods, N.E.C."
09,A,Butter Products
09,C,Milk/Cream
09,D,Low Fat Milk Product
09,E,Non-Fat Milk Product
09,F,Goat Milk
09,G,Sheep Milk
09,H,"Grade ""A"" Milk Products"
09,Y,"Fluid/Dry Milk Products, N.E.C."
12,A,Standard Cheese
12,B,Standard Cheese Product
12,C,Non-Standard Cheese Product
12,D,Soft Cheese Made From Cow Milk
12,F,Soft Cheese Made From Sheep/Ewe Milk
12,G,Soft Cheese Made From Goat Milk
12,Y,"Cheese And Cheese Products, N.E.C."
13,A,Ice Cream
13,B,Custard
13,C,Ice Milk
13,D,Sherbet
13,E,Ice Cream Bars/Novelty Items
13,F,Fruit Flavored Ices
13,G,Ice Cream And Related Products Mixes
13,Y,"Ice Cream And Related Products, N.E.C."
14,A,Filled Milk Prod
14,B,Imit Milk Prod
14,Y,Filled/Imit Milk Prod N.E.C.
15,A,Shell Eggs
15,B,Shelled Egg Prod
15,C,Egg Mixes
15,D,Incubator Rejects
15,E,Imitation/Subst Egg Prod
15,F,Inedible Eggs
15,G,Eggs for Breaker
15,Y,"Egg And Egg Products, N.E.C."
16,A,Fish
16,B,"Fish,Breaded"
16,C,"Fish,Cakes,Balls,etc"
16,E,Shellfish
16,F,"Shellfish,Breaded"
16,G,"Shellfish,Cakes,Balls,etc"
16,I,"Fish, Hot Smoked (protein is coagulated throughout"
16,J,Crustaceans
16,K,"Crustaceans,Breaded"
16,L,"Crustaceans,Cakes,Balls,etc"
16,M,Other Aquatic Species
16,N,"Other Aquatic Species, Breaded"
16,O,"Shellfish, Hot Smoked (protein is coagulated)"
16,P,"Other Aquatic Species,Cakes,Balls,etc"
16,R,Engineered Seafood
16,S,"Fish, Cold Smoked (protein is not coagulated)"
16,T,"Shellfish, Cold Smoked (protein is not coagulated)"
16,U,"Other Aquatic Species, Hot Smoked (coagulated)"
16,V,"Other Aquatic Species, Cold Smoked (not coagulated"
16,W,Mixed Fishery/Seafood Products
16,X,Aquaculture Harvested Fishery/Seafood Products
16,Y,"Fishery Prod,n.e.c."
17,A,Red Meat/Exotic Red Meat Products
17,B,"Poultry Products, Part I"
17,C,Comb Prep Meats
17,D,Gelatin
17,E,"Red Meat/Exotic Red Meat Sausages, Salami"
17,F,Red Meat/Exotic Red Meat Soups/Stews/Chili/Ravioli
17,G,Game Meat Offal
17,M,Animal By Products
17,Y,"Meat/Exotic Meat Products, N.E.C."
18,A,Red Meat-Like Prod
18,B,Poultry-Like Prod
18,C,Comb Meat-Like Veg Protein Prod
18,D,Fish/Shellfish-Like Veg Protein Prod
18,E,Veg Protein Meat Extenders
18,Y,"Vegetable Protein Products, N.E.C."
20,1,"Berry, Fruit Leathers"
20,2,Citrus Fruit Leathers
20,3,Core Fruit Leathers
20,A,Berries
20,B,"Berries, Dried/Paste"
20,C,Berry Jam/Jelly/Candied
20,D,Berry Juices or Concentrates
20,E,Berry Topping/Syrup
20,F,Berry Purees
20,G,Citrus Fruit
20,H,"Citrus Fruit,Dried/Paste"
20,J,Citrus Fruit Jam/Jelly/Candied
20,K,Citrus Fruit Juices or Concentrates
20,L,Citrus Fruit Toppings And Syrups
20,M,Citrus Fruit Purees
20,N,Core Fruit
20,Q,"Core Fruit, Dried/Paste"
20,R,Core Fruit Jam/Jelly Candied
20,S,Core Fruit Juices or Concentrates
20,T,Core Fruit Topping/Syrup
20,U,Core Fruit Purees
21,1,Mixed Fruit Leathers
21,2,Pit Fruit Leathers
21,A,Mixed Fruit
21,B,"Mixed Fruit, Dried/Paste"
21,C,Mixed Fruit Jam/Jelly/Candied
21,D,Mixed Fruit Juices or Concentrates
21,E,Mixed Fruit Topping/Syrup
21,F,Mixed Fruit Purees
21,G,Pit Fruit
21,H,Pit Fruit Dried/Paste
21,I,Pit Fruit Purees
21,J,Pit Fruit Jam/Jelly/Candy
21,K,Pit Fruit Juices or Concentrates
21,L,Pit Fruit Topping/Syrup
21,M,Imit Fruit
21,N,Imit Fruit Flav Jam/Jelly
21,Q,Imit Fruit Top/Syrup
21,R,Subtropical/Tropical Fruit Purees
21,S,Sub/Tropical Fruit
21,T,Sub/Tropical Fruit Dried/Paste
21,U,Sub/Tropical Fruit Jam/Jelly/Candied/Butter/Spread
21,V,Sub/Trop Fruit Juice Conc./Milk/Creme/Nectar/Drink
21,W,Sub/Tropical Fruit Top/Syrup
21,X,Subtropical/Tropical Fruit Pulp
22,1,Vine Fruit Leathers
22,A,Vine Fruit
22,B,Vine Fruit Dried/Paste
22,C,Vine Fruit Jam/Jelly/Candied
22,D,Vine Fruit Juices or Concentrates
22,E,Vine Fruit Top/Syrup
22,F,Vine Fruit Purees
22,G,Other Fruit Prod
22,H,Other Fruit Dried/Paste
22,I,Other Fruit Purees
22,J,"Other Fruit Jam,Jelly/Candied"
22,K,Other Fruit Juices or Concentrates
22,L,Other Fruit Topp/Syrup
23,A,Nut In Shell
23,B,Nut Shelled
23,C,Nut Butter
23,D,Nut Paste
23,E,Nut Spread
23,F,Nut Topping
23,G,Mix Nut In Shell
23,H,Mix Nut Shelled
23,J,Mix Nut Prod
23,K,Edible Seed
23,L,Mix Edible Seed
23,M,Edible Seed Prod
23,N,Imit/Subst Nut/Edible Seed Prod
23,O,Nut Flour/Meal
23,P,"Edible Seed Spreads, Butters"
23,Q,Edible Seed Flour/Meal
23,R,Edible Seed Paste
23,S,Edible Seed Butters
23,T,"Mix Nut, Spreads, Butters"
23,Y,"Nut/Edible Seed, N.E.C."
24,A,Bean/Pea/Corn
24,B,Bean/Pea/Corn Dried/Paste
24,C,Bean/Pea/Corn W/Sauce
24,D,"Beans-Peas-Corn,Juice/Drink"
24,E,"Sprouts from Seeds,Beans or Peas"
24,F,Fruit (Veg)
24,G,Fruit (Veg) Breaded
24,H,Fruit (Veg) Dried/Paste
24,J,Fruit (Veg) Juice
24,K,Fruit (Veg) Sauce
24,L,Beans/Peas/Corn (Microgreens/Microleaf)
24,M,Fruits (Veg) (Microgreens/Microleaf)
24,N,Leaf/Stem Veg (Microgreens/Microleaf)
24,T,Leaf / Stem Veg
24,U,Leaf/Stem Veg Dried/Paste
24,V,Leaf/Stem Veg W Sauce
24,W,"Leaf and Stem Vegetables,Juice/Drink"
25,E,Mix Vegetables
25,F,"Mix Vegetables, Dried/Paste"
25,G,"Mix Vegetables,Juice/Drink"
25,H,Mix Vegetables With Sauce
25,I,Mix Vegetables (Microgreens/Microleaf)
25,J,Root/Tuber Vegetables
25,K,"Root/Tuber Vegetables, Breaded"
25,L,Root/Tuber Veg Dried/Paste
25,M,"Root/Tuber Vegetables,Juice/Drink"
25,N,Root/Tuber Vegetables With Sauce
25,P,"Fungi;Whole (button) (eg,Mushrooms,Truffles,etc)"
25,Q,"Fungi;Pieces & Stems,Sliced(eg,Mushroom,Truffle)"
25,R,"Fungi;Broken or Kibbled (eg,Mushroom,Truffle,etc)"
25,S,"Fungi Products,N.E.C."
25,T,Root/Tuber Veg (Microgreens/Microleaf)
25,Y,"Vegetable & Veg Prod,N.E.C."
26,A,Crude Veg Oil
26,B,Veg Oil Seed Stock
26,C,Refined Veg Oil
26,D,Refined Blend Veg Oil
26,E,Oleomargarine
26,F,Veg Shortening
26,H,Imit/Subst Veg Oil/Shorten
26,Y,Veg Oil N.E.C.
27,A,Standard Dressing
27,B,Non-Standard Dressing
27,V,Vinegar
27,Y,Other Condiment N.E.C.
28,A,Whole Spices
28,B,Ground/Cracked Spice
28,C,Natr Extract/Flavor
28,E,Mix Spice/Season W/O Salt
28,F,Gnd/Crk Mix Spice/Season W/O Salt
28,G,Liq Mix Spice/Season W/O Salt
28,J,Mix Spices/Season W/Salt
28,K,Gnd/Crk Mix Spice/Season W/Salt
28,L,Liq Mix Spice/Season W/Salt
28,M,Imit Flav
28,N,Raw Matr Extr&Flav
28,O,Essential Oils for Flavoring
28,S,Salt
28,Y,"Spices, Flav & Salt N.E.C."
29,A,Noncarb Soft Drink
29,B,Carb Soft Drink
29,C,Nonalcoholic Beverages
29,R,Noncarbonated Water (Nonmedicinal)			
29,S,Carbonated Water (Nonmedicinal)		
29,V,Ice
29,W,Water/Ice
29,Y,Soft Drink/Water N.E.C.
30,A,Fruit Beverage Base
30,B,Fruit Beverage Base Liq
30,F,Beverage Base N/Fruit(Cola Rootbeer Etc)
30,G,Beverage Base Non-Fruit Liquid
30,J,Imit Flav Beverage Base
30,K,Imit Flav Beverage Base Liq
30,N,Comb True/Imit Flav Base
30,P,Comb True Imit Flav Base Liq
30,Y,Beverage Base N.E.C.
31,A,Coffee
31,B,"Coffee, Decaffeinated"
31,E,Coffee Substitutes
31,G,Coffee Ready to Drink
31,K,Tea
31,L,"Tea, Decaffeinated"
31,M,"Tea With Blends of (fruits,botanical,grains,etc)"
31,N,Novelty Tea
31,P,Tea Substitutes
31,Y,"Coffee&Tea,n.e.c."
32,A,Malt Beverage
32,B,Wine
32,C,Liquor
32,D,Premixed Liquor Drink
32,I,Imit Wine/Liquor
32,Y,Alcoholic Beverage N.E.C.
33,A,Hard Candy W/Nut Prod
33,B,Hard Candy W/Coconut
33,C,Hard Candy W/Fruit
33,D,Hard Candy W/Nuts & Fruits
33,E,Hard Candy W/O Nut/Fruit
33,G,"Soft Candy W/Nut, seeds w/o coconut"
33,H,Soft Candy W/Coconut
33,J,Soft Candy W/Fruit
33,K,Soft Candy W/Nuts & Fruits
33,L,Soft Candy W/O Nut/Fruit
33,M,Gel-Like Soft Candy in Containers or on Sticks
33,S,Candy Specialties
33,T,"Toppings, Non-Fruit/Nut"
33,U,Chewing Gum
33,Y,Candy Wo/Choc N.E.C.
34,A,Cocoa Bean
34,B,Choc/Cocoa
34,C,Choc/Choc Cov Candy Nut Prod
34,D,Choc/Choc Cov Candy W/Coconut
34,E,Choc/Choc Cov Candy W/Fruit Prod
34,F,Choc Candy Wo/Nuts & Fruits
34,G,Choc Candy W/Nuts & Fruits
34,H,Choc/Cocoa Beverage Base
34,J,Imit Choc/Cocoa Prod
34,K,"Choc/Cocoa Prod Baking(unsweet, semi, bittersweet)"
34,Y,Choc/Cocoa Prod N.E.C.
35,A,Gelatin Prod
35,B,Rennet Products
35,C,Custard Pudding Mix
35,D,Pudding Mix (Not Custard)
35,E,Fruit Pie Filling
35,F,Veg Pie Filling
36,A,Food Sweetners (Nutr)
36,B,Syrup/Molasses
36,C,Honey
36,D,Imit Syrup/Molasses/Honey
