INDID,PRODID,PRODDESC,CLASSCODE,GROUPCODE
02,1,"Corn, Whole Grain",A,01
02,2,"Corn, Bolted Meal or Flour",B,01
02,3,Rice Flour,C,01
02,4,"Rice, Brown, Processed (Packaged)",D,01
02,5,"Wheat Flour, Bromated",E,01
02,6,Wheat Bran (Human Use),F,01
02,7,Barley Flour,G,01
02,8,Cassava Flour,H,01
02,9,"Malt, Barley",J,01
02,10,"Barley, Whole Grain",A,02
02,11,"Corn, Plain Meal",B,02
02,12,"Rice Flour, Enriched",C,02
02,13,"Rice, Plain (White or Polished) Processed (Packaged)",D,02
02,14,"Wheat Flour, Enriched Bromated",E,02
02,15,"Farina, Wheat",F,02
02,16,Buckwheat Flour,G,02
02,17,Corn Starch,H,02
02,18,"Malt, Rice",J,02
02,19,"Oats, Whole Grain",A,03
02,20,"Corn, Degerminated Meal",B,03
02,21,"Rice, Enriched Processed (Packaged)",D,03
02,22,"Wheat Flour, Whole Bromated",E,03
02,23,"Farina, Enriched Wheat",F,03
02,24,Malt Flour,G,03
02,25,Potato Starch,H,03
02,26,"Malt, Wheat",J,03
02,27,"Popcorn (not popped), Bulk, Whole Grain",A,04
02,28,"Corn, Enriched Bolted Meal",B,04
02,29,"Wheat Flour, Durum",E,04
02,30,"Semolina, Wheat",F,04
02,31,Oat Flour,G,04
02,32,Rice Starch,H,04
02,33,"Rice, Cultivated, Whole Grain",A,05
02,34,"Corn, Enriched Meal",B,05
02,35,Rice Meal Processed (Packaged),D,05
02,36,"Wheat Flour, Enriched (All Purpose)",E,05
02,37,Wheat Germ,F,05
02,38,Peanut Flour,G,05
02,39,Wheat Starch,H,05
02,40,"Rice, Wild, Whole Grain",A,06
02,41,"Corn, Hominy Grits",B,06
02,42,"Rice, Wild Processed (Packaged)",D,06
02,43,"Wheat Flour, Gluten",E,06
02,44,Wheat Meal,F,06
02,45,Potato Flour,G,06
02,46,"Rye, Whole Grain",A,07
02,47,"Corn, Self-Rising Meal",B,07
02,48,"Wheat Flour, Graham",E,07
02,49,"Wheat, Milled (Crushed, Coarse Ground or Cracked)",F,07
02,50,Sesame Flour,G,07
02,51,"Sorghum (Milo), Whole Grain",A,08
02,52,"Corn, Self-Rising Bolted Meal",B,08
02,53,Soybean Flour,G,08
02,54,"Wheat, Whole Grain",A,09
02,55,"Wheat Flour, Phosphated",E,09
02,56,Sunflower Meal,G,09
02,57,"Soybeans, Whole Grain",A,10
02,58,"Wheat Flour, Plain Self-Rising",E,10
02,59,Rye Flour,G,10
02,60,"Wheat Flour, Enriched Self-Rising",E,11
02,61,"Wheat Flour, Whole Durum",E,12
02,62,"Wheat Flour, Whole",E,13
02,63,"Grain, Whole, N.E.C.",A,99
02,64,"Corn, Milled Product N.E.C.",B,99
02,65,"Rice Flour, N.E.C.",C,99
02,66,"Rice, Processed (Packaged) N.E.C.",D,99
02,67,"Wheat Flour, N.E.C.",E,99
02,68,"Wheat, Milled Product, N.E.C.",F,99
02,69,Flours and Meals N.E.C.,G,99
02,70,Starch Products N.E.C.,H,99
02,71,"Malt Products, N.E.C.",J,99
02,72,"Milled Grain Products, N.E.C.",Y,99
02,23811,"Rice Flour, Glutinous",C,03
02,23812,"Rice Flour, Sweet",C,04
02,23814,"Rice, Basmati, Processed (Packaged)",D,07
02,23815,"Rice, Fragrant, Processed (Packaged)",D,08
02,23816,"Rice, Jasmine, Processed (Packaged)",D,09
02,23817,"Rice, Glutinous, Processed (Packaged)",D,10
02,23818,"Rice, Sweet, Processed (Packaged)",D,11
02,23819,Tempura flour mix,H,06
02,23820,Patongco mix (The Philippines),H,07
02,24789,Soybean Powder,G,08
02,24790,Soybean Meal,G,08
02,24791,Tapioca Starch Product,H,01
02,24792,Hominy Grits (Corn),B,06
02,25018,"Gluten, Wheat",F,08
02,25470,Bot Binh Tinh (Vietnamese tapioca flour),H,01
02,25471,Bot Gao (Vietnamese rice flour),C,01
02,25476,"Bulghur Wheat (Steamed, dried and crushed wheat kernels from Middle East)",F,07
02,25551,Harina De Arroz (Latin American rice flour),C,01
02,25580,"Ogi (Nigerian product made from fermented maize, sorghum or millet)",H,99
02,25581,"Okome (short-grain, hulled rice that is mainstay in Japanese diet)",D,02
02,25601,Phoa (Indian long-grain rice processed into thin flakes),D,99
02,25664,"Joshinko (Japanese fine, white rice flour, used to make taffy-like sweets)",C,01
02,25665,Jowar (Indian sorghum seed or grain; cracked and cooked much like rice or ground into flour),A,08
02,25691,"Sooji (Indian milled amber-colored durum wheat, used as a breakfast cereal)",F,02
02,25727,Tempura Ko (Japanese low gluten wheat flour used to make tempura batter),E,99
02,25746,Katakuriko (Japanese fine white powder similar to arrowroot or cornstarch; used to thicken sauces),H,99
02,25780,"Kuzu (Japanese thickener similar to arrowroot, made from the root of the kuzu vine)",H,99
02,150444,"Soybean Flour, Meal, or Powder",G,08
02,158194,Rice Protein,D,12
02,158195,Rice Protein Concentrate,D,12
02,158214,Rice Gluten,D,13
02,158215,Corn Gluten,B,09
02,158216,Corn Gluten Meal,B,09
02,158217,Corn Germ Meal,B,10
02,158218,Soy Protein Isolate,G,08
02,158219,Soy Gluten,G,08
02,158221,Corn Bran,B,11
02,158254,Mung Bean Protein,G,12
02,160020,Gram Flour,G,11
02,172762,Farro,A,09
02,173598,"Wheat Flour, Bleached",E,14
02,173629,"Buckwheat, Whole Grain",A,11
02,173731,"Wheat Flour, Plain",E,15
02,176302,"Quinoa, Whole Grain",A,12
02,176303,Quinoa Flour,G,13
02,176304,Quinoa Meal and Powder,G,14
03,73,Bagel Dough,E,01
03,74,Bagel Bread/Rolls,A,01
03,75,Bagel Prepared Dry Mix With Milk or Egg,B,01
03,76,Bagel Prepared Dry Mix Without Milk or Egg,C,01
03,77,Bagel Heat/Serve,D,01
03,78,Cracker Meal and Cracker Crumbs,F,01
03,79,Peanut Butter Filled Crackers,G,01
03,80,"Vanilla Cookie,Biscuit,Wafer Dough",M,01
03,81,"Vanilla Plain Cookie,Biscuit and Wafer",H,01
03,82,"Vanilla Filled/Iced Cookies,Biscuits and Wafers",J,01
03,83,Vanilla Prepared Dry Cookie Mix With Milk or Egg,K,01
03,84,Vanilla Prepared Dry Cookie Mix Without Milk or Egg,L,01
03,85,Cake Dough or Batter With Custard or Cream Filling,Q,01
03,86,"Cake,Custard or Cream Filled",N,01
03,87,Cake Prepared Dry Mix With Custard or Cream Filling,P,01
03,88,Cake Dough or Batter Without Custard or Cream Filling,T,01
03,89,Cake Without Custard or Cream Filling,R,01
03,90,Cake Prepared Dry Mix Without Custard or Cream Filling,S,01
03,91,Icing and Icing Mixes Without Chocolate or Nuts,U,01
03,92,Bread Crumbs,Y,01
03,93,Bialy Dough,E,02
03,94,Bialy Bread/Rolls,A,02
03,95,Bialy Prepared Dry Mix With Milk or Egg,B,02
03,96,Bialy Prepared Dry Mix Without Milk or Egg,C,02
03,97,Bialy Heat/Serve,D,02
03,98,Flavored or Party Crackers,F,02
03,99,Cheese Filled Crackers,G,02
03,100,"Chocolate Cookie, Biscuit, Wafer Dough",M,02
03,101,"Chocolate Plain Cookies,Biscuits and Wafers",H,02
03,102,"Chocolate Filled/Iced Cookies,Biscuits and Wafers",J,02
03,103,Chocolate Prepared Dry Cookie Mix With Milk or Egg,K,02
03,104,Chocolate Prepared Dry Cookie Mix Without Milk or Egg,L,02
03,105,Doughnut Dough or Batter With Custard or Cream Filling,Q,02
03,106,"Doughnut, Custard or Cream Filled",N,02
03,107,Doughnut Prepared Dry Mix with Custard or Cream Filling,P,02
03,108,Icing and Icing Mixes With Chocolate,U,02
03,109,Croutons,Y,02
03,110,Biscuit Dough,E,03
03,111,Biscuits,A,03
03,112,Biscuit Prepared Dry Mix With Milk or Egg,B,03
03,113,Biscuit Prepared Dry Mix Without Milk or Egg,C,03
03,114,Biscuit Heat/Serve,D,03
